affiliateid,affiliateguid,affiliatename,affiliatenumber,affiliateabbreviatedname,affiliateacronym,affiliateein,affiliatepercapitapin,billhighwaygroupid,ischartered,charterdate,parentaffiliateid,affiliatetypeid,affiliatedesignationid,affiliategeoreachid,isaffiliateactive,affiliateinactivereasonid,affiliateinactivedate,locationstateabr,regionid,retireeentitytypeid,retireedestinationid,electionmonth,officertermstartmonth,iselectionyearodd,electiontermyears,noncoaupdate,nonationalupdate,nostateupdate,nolanwanupdate,noexternalupdate,affiliatewebsite,isactionnetwork,usesaftmemberid,createdby,createdat,updatedby,updatedat,deletedat
1,B0AB738A-7951-4690-9A20-E431BBD8AB0C,National Office,08080,,,222015167,445227,,0,,1,1,1,1,1,,,DC,4,5,11815,,,0,,0,0,0,0,0,,0,1,0,2017-02-01 10:32:05.743,0,2022-09-23 11:22:41.17,
5,4BE7E191-FADD-4735-98EB-EC62D2C05DE6,Idaho Federation of Teachers,08010,Idaho Federation of Teachers,,820322054,355912,,1,1951-05-15 00:00:00.0,1,2,1,3,1,,,ID,6,5,11778,,,0,,0,0,0,0,0,,0,1,0,2017-02-01 10:32:05.743,25,2022-10-07 10:43:19.44,
6,D63E1A26-3157-11D6-B0A1-00508B6D7CC3,Illinois Federation of Teachers,08011,Illinois Federation of Teachers,IFT,362338589,264013,,1,1938-01-01 00:00:00.0,1,2,1,3,1,,,IL,1,5,11779,,,0,,0,0,0,0,0,http://www.ift-aft.org,0,0,0,2017-02-01 10:32:05.743,0,2022-09-23 11:22:24.3866667,
8,D63E1A28-3157-11D6-B0A1-00508B6D7CC3,Education Minnesota,08021,Education Minnesota,,411916882,489200,,1,1938-04-01 00:00:00.0,1,2,1,3,1,,,MN,1,5,11786,,,0,,0,0,0,0,0,http://www.educationminnesota.org/,0,0,0,2017-02-01 10:32:05.743,0,2022-09-23 11:22:24.3866667,
24,750B4D09-6C0B-11D5-B098-00508B6D7CC3,California Federation of Teachers,08004,,CFT,941271864,119160,,1,2019-10-01 00:00:00.0,1,2,1,3,1,,,CA,6,5,11771,3,,0,,0,0,0,0,0,http://www.cft.org/,0,1,1,2001-06-29 08:58:11.0,25,2022-10-07 10:43:19.44,
25,FCF81D7B-4B71-4614-8DC0-6A9037163412,California F of T Retirees,8004R,California Fed Of Trs,,,216099,,1,,24,2,4,3,1,,,CA,6,5,11831,,,0,,0,0,0,0,0,,0,1,0,2017-02-01 10:32:05.743,0,2022-09-23 11:22:41.17,
26,9014058B-7D7D-11D5-B098-00508B6D7CC3,Florida Education Association,08008,Florida Education Association,FEA,593685521,142092,,1,1951-09-08 00:00:00.0,1,2,1,3,1,,,FL,4,5,11775,,,0,,0,0,0,0,0,http://www.feaweb.org/,0,0,0,2017-02-01 10:32:05.743,0,2022-09-23 11:22:24.3866667,
27,EBFCCA77-0ACB-4432-B040-665FB5494CEB,Florida Education Association Retirees,8008R,Florida Education Association,,,623472,,1,,26,2,4,3,1,,,FL,4,5,11832,,,0,,0,0,0,0,0,,0,0,0,2017-02-01 10:32:05.743,0,2022-09-23 11:22:41.17,
28,1325C8B5-4BE5-11D5-B097-00508B6D7CC3,AFT Massachusetts,08019,AFT Massachusetts,,42325769,904982,,1,1938-02-01 00:00:00.0,1,2,1,3,1,,,MA,2,5,11784,,,0,,0,0,0,0,0,http://www.aftma.net,0,1,0,2017-02-01 10:32:05.743,25,2022-10-07 10:43:19.44,
31,6AFA4240-4BED-11D5-B097-00508B6D7CC3,Montana Federation of Public Employees,08024,MEA-MFT,,810169635,620644,,1,2000-03-01 00:00:00.0,1,2,1,3,1,,,MT,5,5,11789,,,0,,0,0,0,0,0,http://mea-mft.org/,0,0,0,2017-02-01 10:32:05.743,0,2022-09-23 11:22:24.3866667,
33,68579486-B15C-11D5-B09B-00508B6D7CC3,AFT New Jersey,08028,AFT New Jersey,AFTNJSF,221532363,166252,,1,1938-07-08 00:00:00.0,1,2,1,3,1,,,NJ,2,5,11792,,,0,,0,0,0,0,0,http://nj.aft.org/,0,1,0,2017-02-01 10:32:05.743,25,2022-10-07 10:43:19.44,
35,B1733D9C-A904-11D5-B09B-00508B6D7CC3,AFT Oregon,08035,,,930611912,275380,,1,1952-01-01 00:00:00.0,1,2,1,3,1,,,OR,6,5,11799,4,,0,,0,0,0,0,0,http://or.aft.org/,0,1,1,2001-09-14 09:59:49.0,25,2022-10-07 10:43:19.44,
